model_name,ext
Urology_1-2-7val640rezize_4.36.0,.pt
Urology_yolov11x-seg_3-13-16-17val640rezize_1_4.40.0,.pt
Urology_yolov9c-seg_3-13-16-17val640rezize-yoloTuring_4.38.1,.pt
Urology_yolov9c-seg_3-13-16-17val640rezize_4.38.0,.pt
urology_FlexibleUNet_efficientnet-b8_urology-200resize-DiceFocalLoss_4.36.1_best,.onnx
urology_FlexibleUNet_efficientnet-b8_urology-200resize-DiceFocalLoss_f1_4.36.3_best,.onnx
urology_RegUNet_3000random320resize_DiceFocalLoss_4.34,.onnx
urology_SwinUNETR_3000random320resize_DiceFocalLoss_4.34_best,.onnx
urology_Unet_3000random320resize_DiceFocalLoss_4.34,.onnx
urology_flexibleNet-efficientnet-b8_3000random320resize_20240904_4.34,.onnx
urology_yolov8n_3000random640resize_20240811_4.34,.pt
urology_yolov8x_3000random640resize_20240822_4.34,.pt
urology_yolov9c_3000random640resize_20240811_4.34,.pt
urology_yolov9e_3000random640resize_20240822_4.34,.pt
